Imagename,Depth,lat,lon,alt,num,fn
201503.20150520.102258948.392850.png,61.86,39.181105,-73.246732,1.92,0,0
201503.20150520.102504464.393600.png,61.54,39.179143,-73.242747,1.8,0,0
201503.20150520.104855374.402150.png,66.34,39.157902,-73.198103,1.89,0,0
201503.20150520.105520287.404450.png,67.43,39.153358,-73.185468,1.62,0,0
201503.20150520.111057496.410050.png,64.95,39.142222,-73.154162,2.04,0,0
201503.20150520.111401580.411150.png,65.31,39.140028,-73.14787,2.13,0,0
201503.20150520.111829358.412750.png,66.41,39.13676,-73.138805,1.82,0,0
201503.20150520.112059976.413650.png,67.64,39.13493,-73.133597,1.74,0,0
201503.20150520.114507785.422300.png,75.63,39.118768,-73.08345,1.34,0,0
201503.20150520.114730044.423150.png,74.68,39.117075,-73.078568,1.24,0,0
201503.20150520.115445171.425750.png,74.18,39.11197,-73.06361,2.15,0,0
201503.20150520.115707425.426600.png,74.45,39.110283,-73.058793,2.29,0,0
201503.20150520.115921304.427400.png,72.97,39.10866,-73.054193,1.32,0,0
201503.20150520.120529496.429600.png,73.53,39.103542,-73.041807,2.05,0,0
201503.20150520.120841948.430750.png,76.06,39.100702,-73.035348,2.07,0,0
201503.20150520.121754238.434050.png,78.92,39.092453,-73.017068,1.24,0,0
201503.20150520.122354048.436200.png,80.03,39.087108,-73.005608,1.66,0,0
201503.20150520.123052443.438700.png,83.17,39.080913,-72.99264,2.39,0,0
201503.20150520.123348171.439750.png,83.14,39.078305,-72.98723,2.02,0,0
201503.20150520.123947987.441900.png,83.52,39.07303,-72.976115,1.94,0,0
201503.20150520.125525188.447500.png,85.99,39.05938,-72.946472,2.07,0,0
201503.20150520.130355622.450550.png,83.62,39.052013,-72.929672,1.62,0,0
201503.20150520.130921974.452500.png,82.71,39.049048,-72.91811,1.9,0,0
201503.20150520.163801073.5849.png,88.77,39.217297,-72.809297,1.6,0,0
201503.20150520.170859242.16950.png,81.5,39.24399,-72.86374,1.23,0,0
201503.20150520.171442325.19000.png,78.45,39.24889,-72.875445,1.8,0,0
201503.20150520.172033767.21100.png,77.82,39.253963,-72.887382,1.97,0,0
201503.20150520.172642292.23300.png,74.58,39.259762,-72.899633,1.8,0,0
201503.20150520.172749241.23700.png,73.88,39.260835,-72.901917,1.15,0,0
201503.20150520.173003124.24500.png,74.77,39.26281,-72.906422,1.71,0,0
201503.20150520.175821804.34650.png,70.81,39.284813,-72.968838,1.33,0,0
